Date,Open,High,Low,Close,Volume,Adj Close
2009-07-30,45.32,46.30,44.79,44.89,16038900,44.89
2009-07-29,44.33,44.59,43.64,44.38,11522200,44.38
2009-07-28,44.03,44.97,43.49,44.74,17206500,44.74
2009-07-27,44.37,44.59,43.37,44.45,13292800,44.45
2009-07-24,43.49,44.46,43.14,44.38,13677100,44.38
2009-07-23,42.41,44.75,42.32,44.42,19222000,44.42
2009-07-22,41.95,42.98,41.75,42.50,14178600,42.50
2009-07-21,41.62,41.90,40.68,41.90,14130900,41.90
2009-07-20,40.91,41.48,40.64,41.26,13344600,41.26
2009-07-17,40.07,40.54,39.69,40.47,10458800,40.47
2009-07-16,38.79,40.24,38.76,40.04,14073600,40.04
2009-07-15,37.91,39.18,37.57,39.10,13557000,39.10
2009-07-14,36.30,36.84,36.06,36.66,9286300,36.66
2009-07-13,35.18,36.44,34.21,36.40,10943300,36.40
2009-07-10,34.55,35.51,34.39,35.10,14348400,35.10
2009-07-09,34.87,35.27,34.56,34.75,11540300,34.75
2009-07-08,34.71,34.98,33.88,34.68,17451100,34.68
2009-07-07,36.13,36.27,34.31,34.37,16629600,34.37
2009-07-06,36.08,36.38,35.37,36.18,11189000,36.18
2009-07-02,37.54,37.54,36.30,36.52,10780600,36.52
2009-07-01,38.46,39.11,38.15,38.16,14182200,38.16
2009-06-30,38.52,38.89,37.57,38.10,16541300,38.10
2009-06-29,38.25,38.90,37.61,38.26,12503800,38.26
2009-06-26,37.59,38.37,37.47,38.15,13907200,38.15
2009-06-25,36.11,38.10,35.90,38.01,16797300,38.01
2009-06-24,35.95,37.08,35.90,36.52,15463000,36.52
2009-06-23,35.77,35.87,34.88,35.37,17000000,35.37
2009-06-22,37.00,37.19,35.37,35.57,17654100,35.57
2009-06-19,37.45,38.16,37.25,37.70,14959500,37.70
2009-06-18,36.98,37.46,36.47,36.87,14032600,36.87
2009-06-17,36.66,37.78,36.21,37.06,23132000,37.06
2009-06-16,37.48,37.74,36.37,36.45,17043800,36.45
2009-06-15,38.01,38.05,36.50,37.10,16686300,37.10
2009-06-12,38.77,38.87,37.79,38.77,15133600,38.77
2009-06-11,38.96,39.98,38.96,39.05,16929900,39.05
2009-06-10,39.86,39.89,37.98,39.09,20245200,39.09
2009-06-09,39.16,39.84,38.78,39.40,17066200,39.40
2009-06-08,38.52,39.36,37.63,38.75,16697500,38.75
2009-06-05,39.41,39.66,38.25,39.05,19829700,39.05
2009-06-04,38.25,39.01,38.12,38.95,19576900,38.95
2009-06-03,38.03,38.18,37.25,38.18,19294600,38.18
2009-06-02,37.78,39.05,37.65,38.28,20558900,38.28
2009-06-01,36.88,38.45,36.65,38.28,22502900,38.28
2009-05-29,35.35,36.17,34.89,36.10,17097900,36.10
2009-05-28,34.94,35.51,33.82,35.33,18913200,35.33
2009-05-27,34.75,35.75,34.24,34.40,20169500,34.40
2009-05-26,31.84,35.03,31.83,34.98,22653200,34.98
2009-05-22,33.02,33.38,32.11,32.50,12334100,32.50
2009-05-21,33.54,33.93,32.10,32.75,18402700,32.75
2009-05-20,34.53,35.53,33.82,33.99,22512800,33.99
2009-05-19,33.73,34.91,33.37,34.27,16261400,34.27
2009-05-18,32.69,33.99,32.31,33.88,14435700,33.88
2009-05-15,32.20,33.12,31.99,32.17,16328400,32.17
2009-05-14,31.76,32.89,31.72,32.24,18502000,32.24
2009-05-13,32.83,32.86,31.52,31.56,23425300,31.56
2009-05-12,34.42,34.50,32.58,33.41,20620400,33.41
2009-05-11,33.08,34.95,32.90,34.26,18474100,34.26
2009-05-08,34.28,35.00,33.33,34.05,25326800,34.05
2009-05-07,36.07,36.13,33.32,33.93,26868000,33.93
2009-05-06,36.20,36.25,34.49,35.63,26289500,35.63
2009-05-05,35.57,35.68,34.82,35.64,17463700,35.64
2009-05-04,34.96,35.78,34.63,35.75,20280500,35.75
2009-05-01,34.16,34.64,33.60,34.30,20155600,34.30
2009-04-30,34.35,35.37,33.67,34.12,28238300,34.12
2009-04-29,33.09,34.38,33.00,33.48,25707700,33.48
2009-04-28,32.64,33.44,32.34,32.61,20088600,32.61
2009-04-27,32.44,33.72,32.35,33.07,23429900,33.07
2009-04-24,32.36,33.45,31.82,33.04,24899400,33.04
2009-04-23,31.70,31.98,30.71,31.98,23011800,31.98
2009-04-22,30.72,32.68,30.52,31.33,32701300,31.33
2009-04-21,29.95,31.17,29.90,31.05,26063100,31.05
2009-04-20,31.12,31.37,29.90,30.18,22963000,30.18
2009-04-17,32.04,32.68,31.60,32.26,22698900,32.26
2009-04-16,31.42,32.55,30.85,32.24,28894700,32.24
2009-04-15,30.33,30.72,29.60,30.72,24749600,30.72
2009-04-14,31.17,31.53,30.39,30.76,23392500,30.76
2009-04-13,31.35,31.90,30.87,31.57,21618800,31.57
2009-04-09,30.91,31.78,30.73,31.65,30369500,31.65
2009-04-08,29.40,30.15,28.98,29.86,25151200,29.86
2009-04-07,29.76,29.76,28.45,28.77,25203400,28.77
2009-04-06,29.86,30.56,29.28,30.44,28649500,30.44
2009-04-03,30.05,30.67,29.63,30.62,27616700,30.62
2009-04-02,28.75,30.41,28.55,29.54,44802800,29.54
2009-04-01,26.25,27.90,26.00,27.76,30405600,27.76
2009-03-31,26.95,28.05,26.86,27.01,28792300,27.01
2009-03-30,26.89,26.92,25.71,26.41,30723100,26.41
2009-03-27,28.31,28.50,27.64,27.82,29201200,27.82
2009-03-26,28.04,29.00,27.77,28.98,41526500,28.98
2009-03-25,27.46,28.27,25.84,27.27,36458200,27.27
2009-03-24,27.61,28.02,27.00,27.09,29093500,27.09
2009-03-23,26.28,28.09,25.86,28.08,33542000,28.08
2009-03-20,25.94,26.58,24.75,25.12,30890400,25.12
2009-03-19,26.69,26.70,25.52,25.87,32043000,25.87
2009-03-18,25.10,26.79,24.86,25.88,48576600,25.88
2009-03-17,23.78,25.26,23.58,25.24,27646100,25.24
2009-03-16,24.59,24.74,23.37,23.47,34018800,23.47
2009-03-13,24.25,24.51,23.62,24.36,33522400,24.36
2009-03-12,22.69,24.34,22.21,24.18,40988600,24.18
2009-03-11,22.59,23.10,21.96,22.65,42076500,22.65
2009-03-10,20.42,22.10,20.26,21.99,41556600,21.99
2009-03-09,20.13,21.29,19.46,19.60,41595500,19.60
2009-03-06,21.07,21.34,19.60,20.53,43481300,20.53
2009-03-05,21.67,22.03,20.70,20.85,39735700,20.85
2009-03-04,21.67,22.77,21.54,22.13,42476100,22.13
2009-03-03,21.45,21.92,20.74,21.06,38850200,21.06
2009-03-02,21.87,22.50,20.81,21.10,43590000,21.10
2009-02-27,22.51,23.30,22.32,22.52,38788900,22.52
2009-02-26,24.62,24.95,22.98,23.00,40509800,23.00
2009-02-25,24.43,25.34,23.59,24.32,50984200,24.32
2009-02-24,23.41,25.02,23.34,24.60,40551100,24.60
2009-02-23,25.20,25.23,22.95,23.16,41553400,23.16
2009-02-20,24.21,25.41,24.10,24.87,46515200,24.87
2009-02-19,25.87,26.20,24.65,24.80,31828100,24.80
2009-02-18,25.89,26.31,24.92,25.53,37974300,25.53
2009-02-17,25.98,26.35,25.26,25.60,38810800,25.60
2009-02-13,27.80,28.37,27.50,27.70,33067900,27.70
2009-02-12,26.68,28.05,26.32,28.00,44454000,28.00
2009-02-11,27.57,27.91,26.50,27.38,31586300,27.38
2009-02-10,29.40,30.11,27.16,27.58,49034200,27.58
2009-02-09,29.57,30.10,29.20,29.82,30719500,29.82
2009-02-06,28.34,29.79,28.10,29.49,37354800,29.49
2009-02-05,26.05,28.42,26.05,28.06,41059400,28.06
2009-02-04,26.90,28.13,26.67,26.84,33877400,26.84
2009-02-03,26.09,27.00,25.35,26.82,30502000,26.82
2009-02-02,24.86,26.35,24.83,25.99,28247200,25.99
2009-01-30,26.73,26.93,25.18,25.33,29026100,25.33
2009-01-29,27.03,27.17,26.15,26.33,28473700,26.33
2009-01-28,26.82,28.25,26.78,27.66,36204500,27.66
2009-01-27,25.58,26.34,25.55,25.93,25683800,25.93
2009-01-26,25.30,26.39,24.93,25.51,30137200,25.51
2009-01-23,24.18,25.95,23.87,25.13,32812600,25.13
2009-01-22,24.53,25.75,24.08,25.03,32097900,25.03
2009-01-21,24.40,25.68,23.86,25.57,31999600,25.57
2009-01-20,26.01,26.24,23.64,23.75,33717900,23.75
2009-01-16,26.44,26.57,25.01,26.25,36419400,26.25
2009-01-15,24.75,26.10,23.93,25.61,38708400,25.61
2009-01-14,25.80,26.05,24.60,24.88,29288100,24.88
2009-01-13,26.51,27.30,25.87,26.47,26269900,26.47
2009-01-12,27.58,27.63,25.96,26.50,23645700,26.50
2009-01-09,28.87,28.88,27.26,27.52,24948600,27.52
2009-01-08,27.99,28.85,27.56,28.80,27214400,28.80
2009-01-07,28.90,29.07,27.75,28.19,25568000,28.19
2009-01-06,29.82,30.45,29.50,29.86,32837800,29.86
2009-01-05,28.95,29.93,28.54,29.26,26963300,29.26
2009-01-02,27.08,29.48,26.91,29.26,23054300,29.26
2008-12-31,26.45,27.59,26.42,26.89,19710700,26.89
2008-12-30,25.59,26.68,25.54,26.42,17867700,26.42
2008-12-29,26.08,26.14,24.75,25.27,13626400,25.27
2008-12-26,26.13,26.13,25.68,25.93,4597800,25.93
2008-12-24,26.08,26.10,25.69,25.91,5653900,25.91
2008-12-23,26.25,26.83,25.51,25.84,23106700,25.84
2008-12-22,27.31,27.44,25.23,26.17,25055100,26.17
2008-12-19,27.48,28.23,27.12,27.23,25955700,27.23
