Date,Open,High,Low,Close,Volume,Adj Close
2009-08-17,30.17,30.90,30.11,30.74,22652600,30.74
2009-08-14,28.31,29.36,28.23,28.56,20234500,28.56
2009-08-13,28.35,29.35,28.12,28.19,22169700,28.19
2009-08-12,30.45,30.51,28.67,29.12,22922800,29.12
2009-08-11,28.74,30.35,28.66,30.17,21151400,30.17
2009-08-10,28.04,28.94,27.73,28.39,17526200,28.39
2009-08-07,28.85,29.14,27.11,27.98,25409200,27.98
2009-08-06,28.40,30.09,28.24,29.65,27713300,29.65
2009-08-05,30.89,31.24,29.07,29.29,22506900,29.29
2009-08-04,32.87,33.05,30.95,31.17,21446600,31.17
2009-08-03,32.97,33.43,32.52,32.57,16586700,32.57
2009-07-31,34.87,35.16,34.12,34.32,16879700,34.32
2009-07-30,35.65,35.72,33.97,34.79,20414800,34.79
2009-07-29,36.68,36.87,36.05,36.36,16337000,36.36
2009-07-28,36.61,36.80,35.99,36.32,17248300,36.32
2009-07-27,37.07,37.33,35.96,36.05,16927900,36.05
2009-07-24,37.68,38.10,36.92,37.08,15965700,37.08
2009-07-23,39.17,39.48,36.65,36.99,28739600,36.99
2009-07-22,40.54,40.65,38.61,39.22,29186600,39.22
2009-07-21,38.76,40.11,38.50,39.24,30607100,39.24
2009-07-20,39.06,39.30,38.54,38.73,23138900,38.73
2009-07-17,38.96,39.96,38.71,39.55,23312500,39.55
2009-07-16,39.65,40.21,38.36,38.90,25675500,38.90
2009-07-15,41.20,41.26,38.20,38.99,34091400,38.99
2009-07-14,41.90,43.27,41.85,42.22,31534700,42.22
2009-07-13,45.77,46.27,42.01,42.24,29527200,42.24
2009-07-10,47.21,48.00,46.84,47.49,25207200,47.49
2009-07-09,46.18,47.07,45.46,46.41,33913600,46.41
2009-07-08,45.77,49.45,45.65,47.50,47772900,47.50
2009-07-07,44.52,46.26,44.40,46.15,33441900,46.15
2009-07-06,45.45,46.26,44.45,44.50,38232200,44.50
2009-07-02,42.87,44.85,42.87,44.72,31452200,44.72
2009-07-01,41.57,42.05,41.17,41.90,27363400,41.90
2009-06-30,41.15,42.39,40.92,41.79,37166500,41.79
2009-06-29,41.92,42.77,40.98,41.19,39183500,41.19
2009-06-26,42.85,43.25,41.70,42.11,28086900,42.11
2009-06-25,44.82,45.16,42.59,42.59,36362400,42.59
2009-06-24,44.14,45.04,43.13,44.25,38934800,44.25
2009-06-23,45.73,46.61,44.58,45.10,43393300,45.10
2009-06-22,42.87,46.38,42.45,46.34,41821100,46.34
2009-06-19,42.49,43.28,41.60,41.83,31381100,41.83
2009-06-18,44.72,44.86,42.91,43.17,29219300,43.17
2009-06-17,43.41,45.67,43.14,44.88,54841600,44.88
2009-06-16,41.32,43.25,41.17,43.03,41583400,43.03
2009-06-15,40.31,41.85,40.17,41.56,37774800,41.56
2009-06-12,39.88,40.33,39.49,39.51,28888200,39.51
2009-06-11,40.24,40.46,38.90,40.04,40715200,40.04
2009-06-10,38.95,41.23,38.94,40.43,43373300,40.43
2009-06-09,39.43,40.15,39.17,39.43,33317000,39.43
2009-06-08,40.88,41.04,39.04,39.97,33038900,39.97
2009-06-05,38.59,40.70,38.36,40.05,42298800,40.05
2009-06-04,41.58,41.82,39.50,39.67,33946500,39.67
2009-06-03,41.94,43.03,41.40,42.18,34358700,42.18
2009-06-02,40.92,41.81,40.61,41.31,38698500,41.31
2009-06-01,40.53,41.32,39.09,40.25,47504400,40.25
2009-05-29,42.82,43.85,41.47,41.53,32109900,41.53
2009-05-28,44.64,46.19,42.94,43.09,42858000,43.09
2009-05-27,42.35,45.69,42.13,45.55,43086000,45.55
2009-05-26,47.14,47.20,42.62,42.81,40064900,42.81
2009-05-22,44.69,46.32,44.50,46.32,29808300,46.32
2009-05-21,46.61,46.86,44.49,45.25,50810500,45.25
2009-05-20,41.63,45.95,41.13,45.30,60494200,45.30
2009-05-19,41.71,43.62,40.72,43.47,46050800,43.47
2009-05-18,45.43,45.94,41.23,41.77,36727100,41.77
2009-05-15,45.90,48.42,45.17,47.52,41945100,47.52
2009-05-14,49.64,49.72,45.11,45.89,51188700,45.89
2009-05-13,46.71,49.45,46.23,48.82,54256800,48.82
2009-05-12,42.01,46.94,41.85,44.48,67051000,44.48
2009-05-11,41.48,43.20,40.29,42.86,52469300,42.86
2009-05-08,43.36,44.64,38.69,38.94,60924500,38.94
2009-05-07,39.54,46.49,39.53,45.30,78624000,45.30
2009-05-06,47.09,47.49,42.30,43.00,63740300,43.00
2009-05-05,49.43,49.99,47.74,49.19,40575600,49.19
2009-05-04,57.22,57.28,47.61,47.90,48897900,47.90
2009-05-01,57.44,59.17,56.00,58.41,31945500,58.41
2009-04-30,54.41,57.14,53.32,57.01,47051900,57.01
2009-04-29,59.66,59.71,55.22,56.12,38764100,56.12
2009-04-28,62.45,62.89,58.83,61.17,36060700,61.17
2009-04-27,59.50,60.64,56.73,59.58,40357300,59.58
2009-04-24,59.22,60.60,54.43,56.70,53967400,56.70
2009-04-23,62.13,64.64,58.64,59.41,47621300,59.41
2009-04-22,64.32,64.38,57.61,64.03,60737900,64.03
2009-04-21,76.43,76.46,60.15,60.30,66191100,60.30
2009-04-20,63.37,70.84,63.02,70.45,50352000,70.45
2009-04-17,60.96,62.53,56.50,58.65,40610900,58.65
2009-04-16,59.78,64.27,58.02,60.27,35975800,60.27
2009-04-15,69.84,71.00,60.55,61.39,35576500,61.39
