Date,Close,Close,Close
11/13/2008,30.46,29.48,71.28
11/12/2008,28.71,26.39,81.4
11/11/2008,30.1,29.36,74.3
11/10/2008,30.77,30.57,71.23
11/7/2008,31.19,31.09,69.31
11/6/2008,30.56,29.79,72.83
11/5/2008,31.99,32.9,66.7
11/4/2008,33.75,36.93,60.38
11/3/2008,32.82,34.94,64.58
10/31/2008,32.89,34.78,64.68
10/30/2008,32.84,34.6,64.44
10/29/2008,31.78,32.89,68
10/28/2008,31.86,32.54,68.85
10/27/2008,28.69,26.91,87.8
10/24/2008,29.51,28.58,84.15
10/23/2008,30.49,30.33,77.71
10/22/2008,30.61,30.61,77.45
10/21/2008,31.48,32.83,73.36
10/20/2008,33.2,36.5,66.74
10/17/2008,32.3,34.2,70.4
10/16/2008,32.26,34.27,70.9
10/15/2008,30.6,30.77,79.11
10/14/2008,33.61,37.65,67.35
10/13/2008,35.13,41.5,63
10/10/2008,31.32,33.31,81.8
10/9/2008,31.52,32.82,82.05
10/8/2008,32.39,35.57,77
10/7/2008,32.65,36.5,75.86
10/6/2008,34.86,40.56,68.87
10/3/2008,36.18,44.75,63.05
10/2/2008,36.75,46.9,60.59
10/1/2008,38.5,51.01,55.41
9/30/2008,38.91,52.38,54.72
9/29/2008,37.82,47.45,61.5
9/26/2008,41.08,58.8,51.27
9/25/2008,41.5,59.19,51.18
9/24/2008,40.85,58.59,51.44
9/23/2008,40.57,57.4,53.02
9/22/2008,40.88,58.55,52
9/19/2008,42.9,63.34,48.68
9/18/2008,41.57,61.01,50.6
9/17/2008,40.21,56.9,54.28
9/16/2008,42.41,63.2,49.22
9/15/2008,42.08,62.79,50.11
9/12/2008,43.43,67.18,47.09
9/11/2008,43.6,66.92,46.92
9/10/2008,42.8,64.32,49.06
9/9/2008,42.45,63.74,49.52
9/8/2008,43.37,66.23,47.87
9/5/2008,43.45,66.99,47.3
9/4/2008,43.66,67.22,46.99
9/3/2008,45.12,71.85,44.3
9/2/2008,45.55,73.19,43.4
8/29/2008,46.12,75.08,42.31
8/28/2008,47.11,77.51,40.98
8/27/2008,46.73,77.09,41.3
8/26/2008,46.43,76.33,41.67
8/25/2008,46.49,76.64,41.55
8/22/2008,47.49,79.6,40.08
8/21/2008,46.87,77.42,41.1
8/20/2008,47.09,78.35,40.68
8/19/2008,47.01,78.8,40.5
8/18/2008,47.6,80.82,39.58
8/15/2008,48.16,82.61,38.63
8/14/2008,48.25,82.56,38.64
8/13/2008,47.7,80.63,39.62
8/12/2008,47.8,81.02,39.57
8/11/2008,47.75,80.7,39.66
8/8/2008,47.32,79.21,40.42
8/7/2008,46.27,76.22,42.03
8/6/2008,46.63,77.02,41.67
8/5/2008,45.93,74.78,42.94
8/4/2008,44.43,70.45,45.83
8/1/2008,44.88,71.89,44.78
7/31/2008,45.46,73.67,43.94
7/30/2008,45.57,73.92,43.71
7/29/2008,45.34,72.67,44.34
7/28/2008,44.42,70.56,45.72
7/25/2008,45.27,72.77,44.61
7/24/2008,44.69,70.87,45.76
7/23/2008,45.37,73.38,44.27
7/22/2008,44.78,71.74,45.51
7/21/2008,44.78,71.8,45.35
7/18/2008,44.59,71.74,45.22
7/17/2008,45.64,72.66,44.68
7/16/2008,45.34,72.97,44.52
7/15/2008,44.24,69.64,46.96
7/14/2008,44.23,69.94,46.55
7/11/2008,44.56,70.97,45.82
7/10/2008,45.28,73.23,44.76
7/9/2008,44.75,71.99,45.3
7/8/2008,45.97,74.84,43.71
7/7/2008,44.9,72.28,45.41
7/3/2008,44.63,71.2,46.22
7/2/2008,44.71,71.58,45.78
7/1/2008,45.81,75.27,43.72
6/30/2008,45.17,73.35,44.83
6/27/2008,45.65,75.07,43.86
6/26/2008,45.65,74.86,43.9
6/25/2008,47.57,80.56,41.18
6/24/2008,46.81,78.86,42.08
6/23/2008,47.05,79.39,41.87
6/20/2008,47.42,81.2,40.98
6/19/2008,48.77,85.4,39
6/18/2008,48.02,83.05,40.25
6/17/2008,48.54,84.93,39.38
6/16/2008,48.8,85.35,39.18
6/13/2008,48.37,84.14,39.79
6/12/2008,47.42,81.1,41.32
6/11/2008,47.37,80.95,41.36
6/10/2008,48.54,84.84,39.55
6/9/2008,48.77,85.96,39.06
6/6/2008,49.03,86.13,38.78
6/5/2008,50.55,92.24,36.46
6/4/2008,49.76,88.88,37.85
6/3/2008,49.13,87.39,38.75
6/2/2008,49.4,88.47,38.2
5/30/2008,50.01,90.5,37.44
5/29/2008,49.69,89.47,37.77
5/28/2008,49.25,87.87,38.51
5/27/2008,49.05,86.86,38.98
5/23/2008,48.2,84.02,40.33
5/22/2008,48.35,84.3,40.08
5/21/2008,48.18,84.47,40.22
5/20/2008,49.27,88.09,38.43
5/19/2008,49.65,89.72,37.76
5/16/2008,50.01,90.6,37.44
5/15/2008,49.97,90.6,37.47
5/14/2008,49.11,87.19,39
5/13/2008,49.22,87.92,38.63
5/12/2008,49.09,87.41,38.91
5/9/2008,48.21,84.26,40.33
5/8/2008,48.4,84.31,40.24
5/7/2008,48.04,84.2,40.52
5/6/2008,48.93,87.61,39.05
5/5/2008,48.63,85.73,39.67
5/2/2008,48.77,86.85,39.21
5/1/2008,48.7,85.91,39.61
4/30/2008,47.21,80.85,42.26
4/29/2008,47.6,82.08,41.6
4/28/2008,47.24,81.08,42.19
4/25/2008,47.15,80.8,42.48
4/24/2008,47.27,80.72,42.47
4/23/2008,46.85,79.64,43.13
4/22/2008,46.34,78.8,43.67
