Date,Open,High,Low,Close,Volume,Adj Close
2009-04-30,3.69,3.75,3.51,3.53,96733200,3.51
2009-04-29,3.39,3.63,3.38,3.56,95996600,3.54
2009-04-28,3.22,3.44,3.21,3.31,79075900,3.30
2009-04-27,3.40,3.58,3.33,3.41,106588000,3.40
2009-04-24,3.44,3.72,3.35,3.58,203475300,3.56
2009-04-23,3.29,3.46,3.16,3.42,121669500,3.41
2009-04-22,3.18,3.56,3.17,3.19,176268600,3.18
2009-04-21,2.74,3.42,2.74,3.40,77145900,3.39
2009-04-20,3.46,3.49,2.98,3.01,144952000,3.00
2009-04-17,3.64,3.90,3.53,3.79,148047700,3.77
2009-04-16,3.71,3.81,3.44,3.67,166901200,3.65
2009-04-15,3.18,3.65,3.14,3.62,122199400,3.60
2009-04-14,3.74,3.80,3.29,3.33,189922400,3.32
2009-04-13,3.40,3.90,3.37,3.82,162214300,3.80
2009-04-09,3.17,3.53,3.14,3.48,172707500,3.46
2009-04-08,2.83,2.88,2.69,2.81,68332300,2.80
2009-04-07,2.80,2.92,2.76,2.76,73785200,2.75
2009-04-06,2.91,3.02,2.86,2.95,107086400,2.94
2009-04-03,2.81,3.10,2.79,3.09,95632500,3.08
2009-04-02,2.95,2.97,2.80,2.85,166565400,2.84
2009-04-01,2.46,2.73,2.45,2.69,138180200,2.68
2009-03-31,2.46,2.66,2.40,2.61,106287000,2.60
2009-03-30,2.49,2.56,2.31,2.34,125494400,2.33
2009-03-27,2.79,2.95,2.76,2.77,109656600,2.76
2009-03-26,2.93,2.98,2.74,2.92,148841300,2.91
2009-03-25,2.82,2.97,2.50,2.86,220858000,2.85
2009-03-24,2.80,3.06,2.69,2.71,177316400,2.70
2009-03-23,2.70,2.98,2.58,2.94,180270400,2.91
2009-03-20,2.54,2.56,2.31,2.35,120559700,2.33
2009-03-19,3.11,3.12,2.55,2.55,193899200,2.52
2009-03-18,2.46,2.97,2.43,2.97,205672400,2.94
2009-03-17,2.25,2.55,2.18,2.55,102320300,2.52
2009-03-16,2.45,2.58,2.25,2.28,167460300,2.26
2009-03-13,2.40,2.45,2.18,2.36,180280400,2.34
2009-03-12,1.96,2.37,1.90,2.35,168389100,2.33
2009-03-11,2.00,2.10,1.90,1.99,210217700,1.97
2009-03-10,1.67,1.92,1.65,1.89,227297600,1.87
2009-03-09,1.44,1.60,1.41,1.51,128590200,1.49
2009-03-06,1.57,1.62,1.37,1.50,172007900,1.48
2009-03-05,1.77,1.77,1.47,1.52,154675800,1.50
2009-03-04,1.98,1.99,1.75,1.83,136130700,1.81
2009-03-03,2.03,2.05,1.80,1.87,128416200,1.85
2009-03-02,2.05,2.11,1.91,1.95,129813600,1.93
2009-02-27,2.17,2.40,2.15,2.19,133859700,2.17
2009-02-26,2.58,2.69,2.40,2.46,180304900,2.43
2009-02-25,2.38,2.61,2.17,2.43,193876400,2.40
2009-02-24,2.08,2.46,2.03,2.44,204606600,2.41
2009-02-23,2.33,2.35,2.01,2.01,128888300,1.99
2009-02-20,2.05,2.29,1.90,2.20,214935200,2.18
2009-02-19,2.53,2.57,2.21,2.23,103117300,2.21
2009-02-18,2.59,2.60,2.33,2.45,121881700,2.42
2009-02-17,2.71,2.72,2.48,2.49,165175500,2.46
2009-02-13,3.08,3.17,2.97,2.98,113965900,2.95
2009-02-12,3.09,3.22,2.85,3.22,185860300,3.19
2009-02-11,3.09,3.26,3.06,3.22,128197400,3.19
2009-02-10,3.61,3.66,2.96,3.01,302887900,2.98
2009-02-09,3.68,3.78,3.55,3.70,139446500,3.66
2009-02-06,3.33,3.67,3.28,3.59,163780000,3.55
2009-02-05,3.02,3.32,2.85,3.19,215212800,3.16
2009-02-04,3.18,3.31,3.04,3.08,126454100,3.05
2009-02-03,3.33,3.35,3.03,3.10,154564400,3.07
2009-02-02,3.05,3.28,3.01,3.26,138151200,3.23
2009-01-30,3.48,3.54,3.13,3.24,179808000,3.21
2009-01-29,3.71,3.77,3.37,3.40,149461400,3.36
2009-01-28,3.69,4.00,3.65,3.96,227293300,3.92
2009-01-27,3.18,3.29,3.09,3.29,130482700,3.26
2009-01-26,3.28,3.43,2.99,3.04,158532000,3.01
2009-01-23,2.76,3.23,2.73,3.18,177683900,3.15
2009-01-22,3.10,3.32,2.86,3.02,270638600,2.99
2009-01-21,2.96,3.39,2.79,3.37,210237400,3.33
2009-01-20,3.54,3.57,2.73,2.73,254696200,2.70
2009-01-16,4.24,4.29,3.50,3.84,157454200,3.80
2009-01-15,4.26,4.29,3.64,3.97,178592000,3.93
